Area-hIP1;6.1;Area-hIP1_l_N10_nlin2Stdcolin27_6.1_publicP_828db42625a675c3a954c6be2e2b3b88.nii.gz
Area-hIP1;6.1;Area-hIP1_r_N10_nlin2Stdcolin27_6.1_publicP_667c85bcddc6c019b2bdd45fc499737a.nii.gz
Area-hIP2;6.1;Area-hIP2_l_N10_nlin2Stdcolin27_6.1_publicP_1c0b051794d33c3042124e8ff29838a0.nii.gz
Area-hIP2;6.1;Area-hIP2_r_N10_nlin2Stdcolin27_6.1_publicP_ddcac02713410823e3545a59be530553.nii.gz
Area-hIP3;8.4;Area-hIP3_l_N10_nlin2Stdcolin27_8.4_publicP_5894ab3681e1b909971d902f17707d8a.nii.gz
Area-hIP3;8.4;Area-hIP3_r_N10_nlin2Stdcolin27_8.4_publicP_c74eb8ebcf63468f544e4086d2b21348.nii.gz
CM;6.4;CM_l_N10_nlin2Stdcolin27_6.4_publicP_8d55f13bab6c2faa29a1d3754369254a.nii.gz
CM;6.4;CM_r_N10_nlin2Stdcolin27_6.4_publicP_77b53c30c9eeccd49eacfeabf1b1749b.nii.gz
IF;6.4;IF_l_N10_nlin2Stdcolin27_6.4_publicP_84f75af1298ba054b19f5c5b437cd279.nii.gz
IF;6.4;IF_r_N10_nlin2Stdcolin27_6.4_publicP_547c4687931539b4eab1883219f1eeed.nii.gz
LB;6.4;LB_l_N10_nlin2Stdcolin27_6.4_publicP_c0f3b866f2fbd0e69e19594e2b49bc87.nii.gz
LB;6.4;LB_r_N10_nlin2Stdcolin27_6.4_publicP_d5f2f1207c0d4990e06267f0c8262d53.nii.gz
MF;6.4;MF_l_N10_nlin2Stdcolin27_6.4_publicP_68bfc4e1ca51ebd1e8f37cd28b43a2c1.nii.gz
MF;6.4;MF_r_N10_nlin2Stdcolin27_6.4_publicP_39ae43f234d7908175c30bda61f59d55.nii.gz
SF;6.4;SF_l_N10_nlin2Stdcolin27_6.4_publicP_a9119350394bdd2f70dfebe720f5128b.nii.gz
SF;6.4;SF_r_N10_nlin2Stdcolin27_6.4_publicP_abd7559e74f7167161273c1c394027d4.nii.gz
VTM;6.4;VTM_l_N10_nlin2Stdcolin27_6.4_publicP_e9cc71b8b7cadcb07a9fb45099934d06.nii.gz
VTM;6.4;VTM_r_N10_nlin2Stdcolin27_6.4_publicP_dbfa70d00d5a54048d9ca8d94aadd1c2.nii.gz
Area-STS1;3.1;Area-STS1_l_N10_nlin2Stdcolin27_3.1_publicDOI_08e75c6446f93d9bc7c39fa4a2a715da.nii.gz
Area-STS1;3.1;Area-STS1_r_N10_nlin2Stdcolin27_3.1_publicDOI_63fc6556f6555e1eb5cf57200a7a6677.nii.gz
Area-STS2;3.1;Area-STS2_l_N10_nlin2Stdcolin27_3.1_publicDOI_4bab85dc8ab1547e1dcf842a06ed1efa.nii.gz
Area-STS2;3.1;Area-STS2_r_N10_nlin2Stdcolin27_3.1_publicDOI_cd667b25d5535ff74ce57baecd64a272.nii.gz
Area-TI;5.1;Area-TI_l_N10_nlin2Stdcolin27_5.1_publicDOI_45fbfa8808ec4de620328650b134bdc3.nii.gz
Area-TI;5.1;Area-TI_r_N10_nlin2Stdcolin27_5.1_publicDOI_42dd664fb5c8690e7c149fcb0d821a0e.nii.gz
Area-TE-1.0;5.1;Area-TE-1.0_l_N10_nlin2Stdcolin27_5.1_publicP_be05cf2a0b23ccd1cdf2271345cbe45d.nii.gz
Area-TE-1.0;5.1;Area-TE-1.0_r_N10_nlin2Stdcolin27_5.1_publicP_12e3532cc654e44a531eadb30caf0051.nii.gz
Area-TE-1.1;5.1;Area-TE-1.1_l_N10_nlin2Stdcolin27_5.1_publicP_7bb30fe3a0a0cf415780103440b15dbe.nii.gz
Area-TE-1.1;5.1;Area-TE-1.1_r_N10_nlin2Stdcolin27_5.1_publicP_6eb19b3b79d6ff1f27500016ed215dc1.nii.gz
Area-TE-1.2;5.1;Area-TE-1.2_l_N10_nlin2Stdcolin27_5.1_publicP_ae0c6a3a2c11d13f70e25df33dde9f86.nii.gz
Area-TE-1.2;5.1;Area-TE-1.2_r_N10_nlin2Stdcolin27_5.1_publicP_1e94be7f543a6aa668fb776361b6e58a.nii.gz
Area-TE-2.1;5.1;Area-TE-2.1_l_N10_nlin2Stdcolin27_5.1_publicDOI_b7611bb31d7954fbd78da2466dbd0f20.nii.gz
Area-TE-2.1;5.1;Area-TE-2.1_r_N10_nlin2Stdcolin27_5.1_publicDOI_efa4e9b9415b25e5f15f62cae3f85dc7.nii.gz
Area-TE-2.2;5.1;Area-TE-2.2_l_N10_nlin2Stdcolin27_5.1_publicDOI_2622704e8adfe45a66563e39a483e708.nii.gz
Area-TE-2.2;5.1;Area-TE-2.2_r_N10_nlin2Stdcolin27_5.1_publicDOI_b2c5dd9c628afe1e50234b32ef557806.nii.gz
Area-TE-3;5.1;Area-TE-3_l_N10_nlin2Stdcolin27_5.1_publicP_ee94f5c173aaf6496d93f5ebc621a740.nii.gz
Area-TE-3;5.1;Area-TE-3_r_N10_nlin2Stdcolin27_5.1_publicP_83d1cf7a0c3717f030a7c8920887bc00.nii.gz
Area-TeI;5.1;Area-TeI_l_N10_nlin2Stdcolin27_5.1_publicDOI_cd40b4fa9fd491879a4f6eddfcd5ecc3.nii.gz
Area-TeI;5.1;Area-TeI_r_N10_nlin2Stdcolin27_5.1_publicDOI_390febadfb960f019db219f2017726de.nii.gz
Ch-123;4.2;Ch-123_l_N10_nlin2Stdcolin27_4.2_publicP_276e61aa375a96aa30727b96fdbcb359.nii.gz
Ch-123;4.2;Ch-123_r_N10_nlin2Stdcolin27_4.2_publicP_08a22f59a0ef477bcd6839aa94654d41.nii.gz
Ch-4;4.2;Ch-4_l_N10_nlin2Stdcolin27_4.2_publicP_b92bf6270f6426059d719a6ff4d46aa7.nii.gz
Ch-4;4.2;Ch-4_r_N10_nlin2Stdcolin27_4.2_publicP_a38a48076577c2c94ed7aad80c625952.nii.gz
Area-44;7.4;Area-44_l_N10_nlin2Stdcolin27_7.4_publicP_e59cf54b21c0c5b6bc9f28238caca480.nii.gz
Area-44;7.4;Area-44_r_N10_nlin2Stdcolin27_7.4_publicP_a654ac4a5ffb29e71ea8ba6607d8d636.nii.gz
Area-45;7.4;Area-45_l_N10_nlin2Stdcolin27_7.4_publicP_08da4129fea7c04d5608bded93dfda10.nii.gz
Area-45;7.4;Area-45_r_N10_nlin2Stdcolin27_7.4_publicP_b9da1fa5cada59f4d42bac9f59e8eafe.nii.gz
Dorsal-Dentate-Nucleus;6.2;Dorsal-Dentate-Nucleus_l_N10_nlin2Stdcolin27_6.2_publicP_e4005dbb191bf6e7d186a59d7054f585.nii.gz
Dorsal-Dentate-Nucleus;6.2;Dorsal-Dentate-Nucleus_r_N10_nlin2Stdcolin27_6.2_publicP_1f16cdf30a2b987c7f6dd013b08b73ad.nii.gz
Ventral-Dentate-Nucleus;6.2;Ventral-Dentate-Nucleus_l_N10_nlin2Stdcolin27_6.2_publicP_66c0eabf5055063dc9c4e26745bc39d0.nii.gz
Ventral-Dentate-Nucleus;6.2;Ventral-Dentate-Nucleus_r_N10_nlin2Stdcolin27_6.2_publicP_0a940b0c0455d9073942ab515304ead9.nii.gz
Fastigial-Nucleus;6.2;Fastigial-Nucleus_l_N10_nlin2Stdcolin27_6.2_publicP_c18475ec9af75fe8a1f5dce004278e55.nii.gz
Fastigial-Nucleus;6.2;Fastigial-Nucleus_r_N10_nlin2Stdcolin27_6.2_publicP_6745e48df4cef0ef4cd9c1e9f9d114b3.nii.gz
Interposed-Nucleus;6.2;Interposed-Nucleus_l_N10_nlin2Stdcolin27_6.2_publicP_2f9237309b1e61c190196401e9a11c7f.nii.gz
Interposed-Nucleus;6.2;Interposed-Nucleus_r_N10_nlin2Stdcolin27_6.2_publicP_58293b82b27045ef76bc1a0ef3428afc.nii.gz
Area-25;16.1;Area-25_l_N10_nlin2Stdcolin27_16.1_publicP_84abfca40abffa2dffd2e7743f8a6ab3.nii.gz
Area-25;16.1;Area-25_r_N10_nlin2Stdcolin27_16.1_publicP_976b0f40ea5674a178c1c4560b4d56e7.nii.gz
Area-33;16.1;Area-33_l_N10_nlin2Stdcolin27_16.1_publicP_9effbeac2461fdf77b2d49619f168d75.nii.gz
Area-33;16.1;Area-33_r_N10_nlin2Stdcolin27_16.1_publicP_94750db9a4bede8ee6b6970d7ccd8f17.nii.gz
Area-p24ab;16.1;Area-p24ab_l_N10_nlin2Stdcolin27_16.1_publicP_444aa7585813722d798a82dbe79e1c9a.nii.gz
Area-p24ab;16.1;Area-p24ab_r_N10_nlin2Stdcolin27_16.1_publicP_6c52469cebca3f350d92d20020c62e87.nii.gz
Area-p24c;16.1;Area-p24c_l_N10_nlin2Stdcolin27_16.1_publicP_9c9d82fb9bfe36b1bce38672bdb4740a.nii.gz
Area-p24c;16.1;Area-p24c_r_N10_nlin2Stdcolin27_16.1_publicP_beb8c3fb63fe05540e87a2007acc40af.nii.gz
Area-p32;16.1;Area-p32_l_N10_nlin2Stdcolin27_16.1_publicP_0f60df84cc5f99ea1dd97d1b025707a6.nii.gz
Area-p32;16.1;Area-p32_r_N10_nlin2Stdcolin27_16.1_publicP_84d50c4187b65ff997e92bd334553f98.nii.gz
Area-s24;16.1;Area-s24_l_N10_nlin2Stdcolin27_16.1_publicP_4c14280cc9c6d43bb5b7c25981828311.nii.gz
Area-s24;16.1;Area-s24_r_N10_nlin2Stdcolin27_16.1_publicP_ae32c2acd10da0c3cba50800ced302e6.nii.gz
Area-s32;16.1;Area-s32_l_N10_nlin2Stdcolin27_16.1_publicP_cfdb1e6e4d0f7f0636e30669917bd3b8.nii.gz
Area-s32;16.1;Area-s32_r_N10_nlin2Stdcolin27_16.1_publicP_af05582934888efe929b28dda1b672ec.nii.gz
Area-Fp1;2.4;Area-Fp1_l_N10_nlin2Stdcolin27_2.4_publicP_649d51f8daede7444548e13722b688ef.nii.gz
Area-Fp1;2.4;Area-Fp1_r_N10_nlin2Stdcolin27_2.4_publicP_aaf0923c7315332fd3c14bbe15360aca.nii.gz
Area-Fp2;2.4;Area-Fp2_l_N10_nlin2Stdcolin27_2.4_publicP_15ceb771b7ce41cf5db287ca4d09ef13.nii.gz
Area-Fp2;2.4;Area-Fp2_r_N10_nlin2Stdcolin27_2.4_publicP_8590239cbabdbb022a92cf2d783b5525.nii.gz
GapMap_Frontal-II;9.0;GapMap_Frontal-II_l_N10_nlin2Stdcolin27_9.0_publicDOI_80ae233781beea0cdf9462a6d168f6d2.nii.gz
GapMap_Frontal-II;9.0;GapMap_Frontal-II_r_N10_nlin2Stdcolin27_9.0_publicDOI_36f8ddcb74e27bcf8a1e22c7a493426a.nii.gz
GapMap_Frontal-I;9.0;GapMap_Frontal-I_l_N10_nlin2Stdcolin27_9.0_publicDOI_151b45ee302cadda12b5536f5fee6eb1.nii.gz
GapMap_Frontal-I;9.0;GapMap_Frontal-I_r_N10_nlin2Stdcolin27_9.0_publicDOI_7ba56d9266e5294359a6f2ab86986661.nii.gz
GapMap_Frontal-to-Occipital;9.0;GapMap_Frontal-to-Occipital_l_N10_nlin2Stdcolin27_9.0_publicDOI_f9d96fd462cb0cab604039069d7488a3.nii.gz
GapMap_Frontal-to-Occipital;9.0;GapMap_Frontal-to-Occipital_r_N10_nlin2Stdcolin27_9.0_publicDOI_c9613e6de13cc7a714645b1dce9b7f4a.nii.gz
GapMap_Frontal-to-Temporal;9.0;GapMap_Frontal-to-Temporal_l_N10_nlin2Stdcolin27_9.0_publicDOI_c2385cd5608a690eb38a50aab4cbf73f.nii.gz
GapMap_Frontal-to-Temporal;9.0;GapMap_Frontal-to-Temporal_r_N10_nlin2Stdcolin27_9.0_publicDOI_c244f5cd34f3baf52b2735b21a9d51f3.nii.gz
