Area-hIP1;6.1;Area-hIP1_l_N10_nlin2MNI152ASYM2009C_6.1_publicP_6356ccda46e27214ce0b87d3325354de.nii.gz
Area-hIP1;6.1;Area-hIP1_r_N10_nlin2MNI152ASYM2009C_6.1_publicP_ce34b7a1a4dd68cead6bf44fa3206e5c.nii.gz
Area-hIP2;6.1;Area-hIP2_l_N10_nlin2MNI152ASYM2009C_6.1_publicP_866af91a1b7d5d3430c06c4a2367ceb7.nii.gz
Area-hIP2;6.1;Area-hIP2_r_N10_nlin2MNI152ASYM2009C_6.1_publicP_dc3b5f651106538fdc5c8915f5caf3fb.nii.gz
Area-hIP3;8.4;Area-hIP3_l_N10_nlin2MNI152ASYM2009C_8.4_publicP_8e7278942625f3bab90e39e63ce6dcdf.nii.gz
Area-hIP3;8.4;Area-hIP3_r_N10_nlin2MNI152ASYM2009C_8.4_publicP_b366037c74bd77ee166a721a2b450728.nii.gz
CM;6.4;CM_l_N10_nlin2MNI152ASYM2009C_6.4_publicP_e326a86b89f4ea97260e01cf26b87e9b.nii.gz
CM;6.4;CM_r_N10_nlin2MNI152ASYM2009C_6.4_publicP_d18c6a8ca9d6d9d69731cea2b5fc9455.nii.gz
IF;6.4;IF_l_N10_nlin2MNI152ASYM2009C_6.4_publicP_86bcd8d2e5a4fd102c318bb698842784.nii.gz
IF;6.4;IF_r_N10_nlin2MNI152ASYM2009C_6.4_publicP_d9187350530dca145200fd6ba248ecb8.nii.gz
LB;6.4;LB_l_N10_nlin2MNI152ASYM2009C_6.4_publicP_910f07fb91d679476b6891533d2a39c3.nii.gz
LB;6.4;LB_r_N10_nlin2MNI152ASYM2009C_6.4_publicP_fb1f9ac262d15a594c2b25407d6a20ca.nii.gz
MF;6.4;MF_l_N10_nlin2MNI152ASYM2009C_6.4_publicP_c34326246da6aaaed3702d698fae3f9b.nii.gz
MF;6.4;MF_r_N10_nlin2MNI152ASYM2009C_6.4_publicP_cfb61668a26d49d06e1bd31ec13710a2.nii.gz
SF;6.4;SF_l_N10_nlin2MNI152ASYM2009C_6.4_publicP_de7bfaa4d5a3bf6d521d1e00c002142f.nii.gz
SF;6.4;SF_r_N10_nlin2MNI152ASYM2009C_6.4_publicP_1a5ddb5b8fcb255db3236e412bd6c80d.nii.gz
VTM;6.4;VTM_l_N10_nlin2MNI152ASYM2009C_6.4_publicP_69a0db315decac01cb5533efa7288599.nii.gz
VTM;6.4;VTM_r_N10_nlin2MNI152ASYM2009C_6.4_publicP_1921f3dc90bb3daf22d969bf30ca73e4.nii.gz
Area-STS1;3.1;Area-STS1_l_N10_nlin2MNI152ASYM2009C_3.1_publicDOI_f4314e996983dbcf8a12a9cc5b946964.nii.gz
Area-STS1;3.1;Area-STS1_r_N10_nlin2MNI152ASYM2009C_3.1_publicDOI_5ea19dd71c1c78bba59509399b6469c4.nii.gz
Area-STS2;3.1;Area-STS2_l_N10_nlin2MNI152ASYM2009C_3.1_publicDOI_bbb9014402bd9375e62f4a05b9a59926.nii.gz
Area-STS2;3.1;Area-STS2_r_N10_nlin2MNI152ASYM2009C_3.1_publicDOI_faa0d81b6dc5d5c54d1eccc0db244c0d.nii.gz
Area-TI;5.1;Area-TI_l_N10_nlin2MNI152ASYM2009C_5.1_publicDOI_cfc2645e72f623a418ad8ab94128f832.nii.gz
Area-TI;5.1;Area-TI_r_N10_nlin2MNI152ASYM2009C_5.1_publicDOI_286731224b07bc233f32d73e0a78458d.nii.gz
Area-TE-1.0;5.1;Area-TE-1.0_l_N10_nlin2MNI152ASYM2009C_5.1_publicP_23be385ece102bd188b8045a4c5afb86.nii.gz
Area-TE-1.0;5.1;Area-TE-1.0_r_N10_nlin2MNI152ASYM2009C_5.1_publicP_f259d35b3cc787f65df5253ae06867b0.nii.gz
Area-TE-1.1;5.1;Area-TE-1.1_l_N10_nlin2MNI152ASYM2009C_5.1_publicP_cb5d98e874d53c78fe95da059935edea.nii.gz
Area-TE-1.1;5.1;Area-TE-1.1_r_N10_nlin2MNI152ASYM2009C_5.1_publicP_53a5cf3c8c3612228ee782b87e4154cd.nii.gz
Area-TE-1.2;5.1;Area-TE-1.2_l_N10_nlin2MNI152ASYM2009C_5.1_publicP_76e9f12554802890fcb9576b90fe4a75.nii.gz
Area-TE-1.2;5.1;Area-TE-1.2_r_N10_nlin2MNI152ASYM2009C_5.1_publicP_f76a262336643bb0c0d6ddd6735a6cac.nii.gz
Area-TE-2.1;5.1;Area-TE-2.1_l_N10_nlin2MNI152ASYM2009C_5.1_publicDOI_78090d12d212d0ab6339ab438cf8773c.nii.gz
Area-TE-2.1;5.1;Area-TE-2.1_r_N10_nlin2MNI152ASYM2009C_5.1_publicDOI_5c4667e5b2a36836547709a9a571422b.nii.gz
Area-TE-2.2;5.1;Area-TE-2.2_l_N10_nlin2MNI152ASYM2009C_5.1_publicDOI_f234726232ea838e5c2ceb861a4a93ae.nii.gz
Area-TE-2.2;5.1;Area-TE-2.2_r_N10_nlin2MNI152ASYM2009C_5.1_publicDOI_ed5a1c6f70ed0832a71c70c98934c071.nii.gz
Area-TE-3;5.1;Area-TE-3_l_N10_nlin2MNI152ASYM2009C_5.1_publicP_16c84a499dd9fb30abf386a889fd7197.nii.gz
Area-TE-3;5.1;Area-TE-3_r_N10_nlin2MNI152ASYM2009C_5.1_publicP_054e759e0dbf18d7388ae410534be34c.nii.gz
Area-TeI;5.1;Area-TeI_l_N10_nlin2MNI152ASYM2009C_5.1_publicDOI_36c7db56787b2f4cc1602617f092a0a5.nii.gz
Area-TeI;5.1;Area-TeI_r_N10_nlin2MNI152ASYM2009C_5.1_publicDOI_7686994ca48e0a4eeebea3714cdd8c49.nii.gz
Ch-123;4.2;Ch-123_l_N10_nlin2MNI152ASYM2009C_4.2_publicP_fa737f79bcb185c7307fb53bdebd6c05.nii.gz
Ch-123;4.2;Ch-123_r_N10_nlin2MNI152ASYM2009C_4.2_publicP_8763c9d51ff71a84267a938013dfe436.nii.gz
Ch-4;4.2;Ch-4_l_N10_nlin2MNI152ASYM2009C_4.2_publicP_7caae7e09c1e0adbe690a88fb52c85c8.nii.gz
Ch-4;4.2;Ch-4_r_N10_nlin2MNI152ASYM2009C_4.2_publicP_fbc6ec2979903e26ee714f5f6b6051d1.nii.gz
Area-44;7.4;Area-44_l_N10_nlin2MNI152ASYM2009C_7.4_publicP_60b37b64b9d16e1cc225e7abab1a237b.nii.gz
Area-44;7.4;Area-44_r_N10_nlin2MNI152ASYM2009C_7.4_publicP_8ab9fe173028c59ae203af675b23ca64.nii.gz
Area-45;7.4;Area-45_l_N10_nlin2MNI152ASYM2009C_7.4_publicP_3e843bc1a5030d4b013474afd62e6ab3.nii.gz
Area-45;7.4;Area-45_r_N10_nlin2MNI152ASYM2009C_7.4_publicP_4bf46aa09eea578f64c480de4c95a799.nii.gz
Dorsal-Dentate-Nucleus;6.2;Dorsal-Dentate-Nucleus_l_N10_nlin2MNI152ASYM2009C_6.2_publicP_77222a6bed045183dd1377d457f9554a.nii.gz
Dorsal-Dentate-Nucleus;6.2;Dorsal-Dentate-Nucleus_r_N10_nlin2MNI152ASYM2009C_6.2_publicP_7b4e398177cc90b6edb362a2151ea909.nii.gz
Ventral-Dentate-Nucleus;6.2;Ventral-Dentate-Nucleus_l_N10_nlin2MNI152ASYM2009C_6.2_publicP_b3fe557c2907b78a494a930e40f8ade3.nii.gz
Ventral-Dentate-Nucleus;6.2;Ventral-Dentate-Nucleus_r_N10_nlin2MNI152ASYM2009C_6.2_publicP_c0bb9f1c756d2dbe2ba822a9102d7ed3.nii.gz
Fastigial-Nucleus;6.2;Fastigial-Nucleus_l_N10_nlin2MNI152ASYM2009C_6.2_publicP_3f29cb863b3378e7099462f166af91ac.nii.gz
Fastigial-Nucleus;6.2;Fastigial-Nucleus_r_N10_nlin2MNI152ASYM2009C_6.2_publicP_88983a4de690eb17c1f72f33e75e76a6.nii.gz
Interposed-Nucleus;6.2;Interposed-Nucleus_l_N10_nlin2MNI152ASYM2009C_6.2_publicP_1661bff98d0758f3f5eb42165ef4607d.nii.gz
Interposed-Nucleus;6.2;Interposed-Nucleus_r_N10_nlin2MNI152ASYM2009C_6.2_publicP_524424d2c0b541c3c026866124f36cbd.nii.gz
Area-25;16.1;Area-25_l_N10_nlin2MNI152ASYM2009C_16.1_publicP_6551c5d95722c83b0303b9fa90ef6a77.nii.gz
Area-25;16.1;Area-25_r_N10_nlin2MNI152ASYM2009C_16.1_publicP_93401fc0a35eeca7ce9915e6f0ae7737.nii.gz
Area-33;16.1;Area-33_l_N10_nlin2MNI152ASYM2009C_16.1_publicP_96cd2655eca9ca5af6c86a1b89742ab2.nii.gz
Area-33;16.1;Area-33_r_N10_nlin2MNI152ASYM2009C_16.1_publicP_6a7e3a50f9afd136abb34efbb2c24fb6.nii.gz
Area-p24ab;16.1;Area-p24ab_l_N10_nlin2MNI152ASYM2009C_16.1_publicP_15f91a07e9c40977374f9039c057807c.nii.gz
Area-p24ab;16.1;Area-p24ab_r_N10_nlin2MNI152ASYM2009C_16.1_publicP_e1ffacac2735757e55e0c3edf7f0af68.nii.gz
Area-p24c;16.1;Area-p24c_l_N10_nlin2MNI152ASYM2009C_16.1_publicP_ed5f1c42c963bdc59256f10ce5201177.nii.gz
Area-p24c;16.1;Area-p24c_r_N10_nlin2MNI152ASYM2009C_16.1_publicP_0cf461f9b5c1e283a0c8c52478458032.nii.gz
Area-p32;16.1;Area-p32_l_N10_nlin2MNI152ASYM2009C_16.1_publicP_b0257eba34d66fc890faf775357c630e.nii.gz
Area-p32;16.1;Area-p32_r_N10_nlin2MNI152ASYM2009C_16.1_publicP_08eef4be4a271d593119669cdf264612.nii.gz
Area-s24;16.1;Area-s24_l_N10_nlin2MNI152ASYM2009C_16.1_publicP_79e7a81bbf24d9e4b93e42f81a49f12b.nii.gz
Area-s24;16.1;Area-s24_r_N10_nlin2MNI152ASYM2009C_16.1_publicP_ee4ea4e85de2ee85df99af068ecdb601.nii.gz
Area-s32;16.1;Area-s32_l_N10_nlin2MNI152ASYM2009C_16.1_publicP_7e88468e35fc1e2ac960d569f9bf60dc.nii.gz
Area-s32;16.1;Area-s32_r_N10_nlin2MNI152ASYM2009C_16.1_publicP_5e30774488c809b01352303e9eeeed6c.nii.gz
Area-Fp1;2.4;Area-Fp1_l_N10_nlin2MNI152ASYM2009C_2.4_publicP_8f5e6508268bacabc4c356660a83278b.nii.gz
Area-Fp1;2.4;Area-Fp1_r_N10_nlin2MNI152ASYM2009C_2.4_publicP_2e62f28d1db83702fb36e4ea307d4b87.nii.gz
Area-Fp2;2.4;Area-Fp2_l_N10_nlin2MNI152ASYM2009C_2.4_publicP_03f14fd279ebd8b219112f076aa3d957.nii.gz
Area-Fp2;2.4;Area-Fp2_r_N10_nlin2MNI152ASYM2009C_2.4_publicP_5d90eb689abf284e11d575a143384102.nii.gz
GapMap_Frontal-II;9.0;GapMap_Frontal-II_l_N10_nlin2MNI152ASYM2009C_9.0_publicDOI_76049fe3f22227c66f4d6f5381969779.nii.gz
GapMap_Frontal-II;9.0;GapMap_Frontal-II_r_N10_nlin2MNI152ASYM2009C_9.0_publicDOI_11870d0a984f6137dbdccdc9365ef81e.nii.gz
GapMap_Frontal-I;9.0;GapMap_Frontal-I_l_N10_nlin2MNI152ASYM2009C_9.0_publicDOI_163f2fabfa75cce1062ed76fb38dfffc.nii.gz
GapMap_Frontal-I;9.0;GapMap_Frontal-I_r_N10_nlin2MNI152ASYM2009C_9.0_publicDOI_fa74ba6a163cc8449f6a431be2030d68.nii.gz
GapMap_Frontal-to-Occipital;9.0;GapMap_Frontal-to-Occipital_l_N10_nlin2MNI152ASYM2009C_9.0_publicDOI_f033f086926cf3e6151f295df25dbcbd.nii.gz
GapMap_Frontal-to-Occipital;9.0;GapMap_Frontal-to-Occipital_r_N10_nlin2MNI152ASYM2009C_9.0_publicDOI_cce77a55c646d06ef7280982cfb907ac.nii.gz
GapMap_Frontal-to-Temporal;9.0;GapMap_Frontal-to-Temporal_l_N10_nlin2MNI152ASYM2009C_9.0_publicDOI_c1ab935a32eb2360076ca23af2bf7220.nii.gz
GapMap_Frontal-to-Temporal;9.0;GapMap_Frontal-to-Temporal_r_N10_nlin2MNI152ASYM2009C_9.0_publicDOI_87d8d3dd63332bdde40a4b2419a3b963.nii.gz
GapMap_Temporal-to-Parietal;9.0;GapMap_Temporal-to-Parietal_l_N10_nlin2MNI152ASYM2009C_9.0_publicDOI_c968ac8b046cab0b4f7252dab14e1d95.nii.gz
GapMap_Temporal-to-Parietal;9.0;GapMap_Temporal-to-Parietal_r_N10_nlin2MNI152ASYM2009C_9.0_publicDOI_7161dc32d144c76f64eb18c54edf015e.nii.gz
CA1;11.1;CA1_l_N10_nlin2MNI152ASYM2009C_11.1_publicP_8608fd3351abb7c7e39e72827a46c776.nii.gz
CA1;11.1;CA1_r_N10_nlin2MNI152ASYM2009C_11.1_publicP_23c95d20bd183c30c7c0b6d1b71634e0.nii.gz
CA2;11.1;CA2_l_N10_nlin2MNI152ASYM2009C_11.1_publicP_66b60f4ca274fac07202dc60069d119c.nii.gz
CA2;11.1;CA2_r_N10_nlin2MNI152ASYM2009C_11.1_publicP_dec44a601aec2d7ac07e066938bf58fd.nii.gz
CA3;11.1;CA3_l_N10_nlin2MNI152ASYM2009C_11.1_publicP_4757b2a4c8cb9245f6bf37186e041212.nii.gz
CA3;11.1;CA3_r_N10_nlin2MNI152ASYM2009C_11.1_publicP_53afb12d00807e350f1034ae453b65d5.nii.gz
DG;11.1;DG_l_N10_nlin2MNI152ASYM2009C_11.1_publicP_63b6c6ca2614670ecfcfd07ac161a773.nii.gz
DG;11.1;DG_r_N10_nlin2MNI152ASYM2009C_11.1_publicP_e17778fc3b645ba71d25950e3d910b94.nii.gz
Entorhinal-Cortex;11.1;Entorhinal-Cortex_l_N10_nlin2MNI152ASYM2009C_11.1_publicP_27148827d3f0200b4c8d7a6d7d80e899.nii.gz
Entorhinal-Cortex;11.1;Entorhinal-Cortex_r_N10_nlin2MNI152ASYM2009C_11.1_publicP_e8710a1d4bc196b2b9baf719c6ebb552.nii.gz
HATA;11.1;HATA_l_N10_nlin2MNI152ASYM2009C_11.1_publicP_95105e302f3b56317cfcc76dde679bed.nii.gz
HATA;11.1;HATA_r_N10_nlin2MNI152ASYM2009C_11.1_publicP_b67d9ef909091d5c5ede90b9385b31db.nii.gz
Subiculum;11.1;Subiculum_l_N10_nlin2MNI152ASYM2009C_11.1_publicP_575479350db2732b1f06542c9189ea48.nii.gz
Subiculum;11.1;Subiculum_r_N10_nlin2MNI152ASYM2009C_11.1_publicP_37f6f1e1ab19f747292b0eb13fafd50e.nii.gz
Area-PF;9.4;Area-PF_l_N10_nlin2MNI152ASYM2009C_9.4_publicP_232ee1a96701fd6369893a0bfd006604.nii.gz
Area-PF;9.4;Area-PF_r_N10_nlin2MNI152ASYM2009C_9.4_publicP_3f27e68e17afea445deeafded99c6633.nii.gz
Area-PFcm;9.4;Area-PFcm_l_N10_nlin2MNI152ASYM2009C_9.4_publicP_03bbdd17e34fa7d15e12488a1e730b87.nii.gz
Area-PFcm;9.4;Area-PFcm_r_N10_nlin2MNI152ASYM2009C_9.4_publicP_df12fd4de58b023b1ce836b9e1b15f50.nii.gz
Area-PFm;9.4;Area-PFm_l_N10_nlin2MNI152ASYM2009C_9.4_publicP_b91583400e4eae70c7dd8b5d9fbb8a0b.nii.gz
